Month,East North Central,East South Central,Middle Atlantic,Mountain,New England,Pacific,South Atlantic,West North Central,West South Central,USA
1/1/91,100.00 ,100.00 ,100.00 ,100.00 ,100.00 ,100.00 ,100.00 ,100.00 ,100.00 ,100.00 
2/1/91,101.15 ,100.77 ,100.28 ,98.85 ,102.29 ,100.53 ,100.52 ,100.64 ,99.91 ,100.56 
3/1/91,101.10 ,100.63 ,99.77 ,100.72 ,101.42 ,100.23 ,100.68 ,100.08 ,100.67 ,100.57 
4/1/91,101.11 ,100.72 ,99.23 ,100.51 ,101.04 ,100.15 ,100.48 ,100.33 ,100.17 ,100.40 
5/1/91,101.54 ,100.86 ,99.20 ,100.53 ,99.89 ,100.17 ,100.74 ,100.22 ,100.44 ,100.50 
6/1/91,101.61 ,101.69 ,98.92 ,101.69 ,98.59 ,99.93 ,100.73 ,100.50 ,101.12 ,100.61 
7/1/91,102.06 ,101.54 ,99.14 ,101.37 ,98.72 ,99.91 ,100.67 ,100.32 ,100.82 ,100.63 
8/1/91,102.25 ,100.79 ,98.64 ,101.53 ,97.94 ,100.07 ,100.22 ,100.69 ,100.66 ,100.47 
9/1/91,102.11 ,101.20 ,99.31 ,101.62 ,99.30 ,99.67 ,100.24 ,100.88 ,101.71 ,100.72 
10/1/91,102.55 ,101.67 ,98.99 ,102.77 ,98.68 ,100.43 ,101.03 ,101.41 ,100.73 ,101.01 
11/1/91,103.43 ,102.35 ,100.09 ,104.08 ,97.71 ,100.69 ,101.45 ,101.57 ,101.47 ,101.58 
12/1/91,103.58 ,103.57 ,100.38 ,103.76 ,98.65 ,100.78 ,101.74 ,102.61 ,101.86 ,101.96 
1/1/92,104.03 ,103.43 ,100.69 ,104.56 ,99.85 ,101.04 ,102.06 ,102.37 ,102.57 ,102.33 
2/1/92,104.56 ,104.41 ,102.01 ,105.44 ,100.20 ,101.40 ,102.84 ,103.03 ,103.35 ,103.06 
3/1/92,105.33 ,104.07 ,101.30 ,106.14 ,99.55 ,100.85 ,102.50 ,103.78 ,102.65 ,102.94 
4/1/92,105.40 ,103.58 ,100.90 ,105.94 ,98.42 ,100.37 ,101.97 ,103.58 ,102.79 ,102.64 
5/1/92,105.74 ,104.03 ,100.44 ,106.45 ,97.71 ,100.39 ,102.18 ,103.87 ,102.69 ,102.71 
